full_name,age,join_date,salary$,department,score,bonus,active,comments,weird_column___name
Eve,59,2019-01-12 10:51:05,14235,IT,D,500.0,0.0,needs review,-0.131437803463309
Dave,56,2020-08-25 11:07:23,10132,,,1000.0,1.0,,1.0223320932565043
Frank,22,2020-01-21 13:39:07,15097,HR,D,1000.0,1.0,needs review,-3.086566467815996
Bob,30,2023-04-13 04:38:43,13800,Sales,A,500.0,0.0,excellent,0.190335158340927
Alice,30,2018-04-05 01:24:20,17288,Finance,D,1500.0,1.0,excellent,-1.1555986022136482
Bob,47,2021-03-27 22:30:21,13890,Sales,C,1000.0,1.0,ok,-1.3392668029933643
Dave,67,2023-08-20 07:19:53,6501,Operations,D,1500.0,0.0,excellent,-0.6714297070606147
Bob,57,2018-12-05 00:40:55,15992,Sales,C,1000.0,1.0,,-0.5252974712425532
Alice,20,2017-11-08 13:48:19,10521,HR,B,1500.0,1.0,ok,-2.9553679629442597
Frank,29,2021-02-08 05:16:50,19620,,,0.0,0.0,pending,0.360047255501504
Bob,19,2020-03-16 01:36:57,16619,Operations,A,1000.0,0.0,,-0.4893730644428435
Bob,18,2019-12-13 10:01:05,6908,Operations,B,500.0,1.0,needs review,-1.9249629082134487
Eve,29,2023-07-29 07:04:30,13740,Finance,C,500.0,0.0,needs review,0.8521788581304388
Alice,58,2020-07-19 09:55:31,13806,IT,A,1000.0,1.0,,-0.1254166335395159
Frank,18,2019-09-02 15:04:27,7047,Operations,A,1000.0,1.0,excellent,0.7615034342434556
Eve,65,2022-09-28 02:22:00,14565,,C,1000.0,0.0,pending,-0.3365944833169726
Eve,56,2023-05-24 00:11:10,4487,IT,A,500.0,1.0,pending,-0.4890935880502077
Carol,29,2022-11-12 19:35:54,8952,Finance,C,500.0,0.0,,0.1386786657615193
Carol,29,2019-09-24 06:04:34,9647,Operations,A,1000.0,0.0,pending,0.0875796256506953
Eve,21,2018-08-26 08:45:51,7030,Finance,A,500.0,1.0,excellent,1.2549923081651342
Alice,59,2023-06-28 00:26:48,12747,IT,D,0.0,0.0,needs review,-0.7665237476231782
Eve,58,2022-06-30 15:09:59,15710,Operations,D,1000.0,0.0,pending,0.96870143325332
Alice,27,2017-12-22 10:05:25,17742,Operations,C,1000.0,1.0,pending,0.8679855123404899
Bob,45,2018-02-03 18:42:22,18109,Sales,,500.0,1.0,pending,1.257157986079824
Carol,33,2017-10-31 11:52:54,16737,Finance,B,1000.0,0.0,ok,-0.2770064578116577
Alice,63,2019-06-22 11:54:37,15752,Sales,,1000.0,0.0,pending,1.6081986508047028
Dave,25,2021-01-02 20:34:26,8174,Sales,B,1000.0,1.0,needs review,-0.2028004257221559
Alice,23,2017-10-02 04:09:09,13077,Operations,B,0.0,1.0,pending,1.0711655662567043
Alice,36,2022-11-24 21:37:29,11633,Operations,,1000.0,0.0,,0.9766979185466864
Frank,18,2023-03-03 20:28:17,5108,,,1000.0,0.0,needs review,-0.5984301111811313
Eve,41,2019-09-18 03:29:59,11048,HR,C,0.0,1.0,pending,-0.3782164226410391
Alice,23,2021-08-06 05:19:45,3777,Operations,A,1000.0,0.0,excellent,-0.819280409386686
Alice,22,2021-04-03 19:12:58,11259,Operations,A,1000.0,1.0,pending,-1.3418974804746262
Alice,60,2021-07-30 07:19:48,11899,Sales,A,0.0,0.0,needs review,0.4798796387230591
Bob,31,2020-06-15 06:58:49,3656,,,500.0,1.0,ok,1.479069809656443
Bob,47,2020-06-26 17:36:38,17081,,D,1000.0,0.0,,-1.5543812048620778
Alice,24,2019-03-31 10:49:09,18391,,A,1500.0,0.0,excellent,0.1472938687895892
Bob,40,2018-12-04 15:53:10,6212,Operations,,500.0,1.0,ok,0.1771333870474919
Bob,48,2018-09-20 02:21:10,7473,HR,D,1000.0,0.0,ok,-0.2000743580086953
Bob,34,2017-09-17 00:59:20,12691,Sales,D,500.0,1.0,excellent,0.9592033273871396
Bob,19,2018-02-28 01:11:10,7844,IT,C,1000.0,0.0,,0.1012513305711348
Eve,33,2017-10-14 00:16:01,8884,HR,,1500.0,0.0,ok,-0.4278647145234943
Alice,43,2022-02-26 19:06:57,12255,,C,500.0,1.0,needs review,0.7218160105714676
Bob,29,2021-12-21 17:37:11,8661,,B,1000.0,0.0,pending,-0.4500489681267857
Dave,45,2021-08-01 21:07:34,9924,HR,D,1500.0,1.0,pending,1.7847353047562693
Dave,18,2018-03-29 21:48:22,11278,HR,,0.0,1.0,,0.7494771347121025
Alice,49,2022-10-28 05:13:54,5913,Sales,C,1500.0,1.0,needs review,0.0554996459311237
Frank,19,2018-12-21 10:39:23,3987,HR,A,1000.0,1.0,needs review,-0.0135826708585735
Bob,18,2019-10-09 22:00:28,10618,IT,C,1500.0,1.0,ok,-0.8310935064514894
Alice,27,2020-07-23 15:39:17,4527,Operations,,1000.0,1.0,excellent,-0.0269206135899567
Dave,33,2020-03-16 23:13:44,12269,Finance,A,500.0,0.0,ok,0.9523313777348346
Dave,31,2018-05-07 19:26:38,11546,IT,A,1500.0,1.0,needs review,0.1267654056364517
Alice,57,2019-12-12 20:28:35,12451,HR,C,1000.0,1.0,needs review,-0.8034878062991052
Alice,28,2023-04-26 15:20:18,12619,,,1000.0,1.0,needs review,0.3358389644236897
Carol,42,2020-09-12 08:27:21,13828,Sales,C,500.0,0.0,excellent,-0.9974355036456328
Carol,56,2019-04-10 07:01:13,11297,,D,0.0,0.0,needs review,-0.4760397096520316
Alice,29,2020-09-16 04:26:47,17632,Operations,C,0.0,0.0,excellent,0.8499007192321736
Carol,47,2023-10-11 20:59:39,6756,Finance,A,1000.0,1.0,needs review,-0.2704808614686391
Alice,53,2019-11-14 12:13:27,6524,Sales,,1500.0,0.0,pending,-0.6677099661987431
Frank,65,2021-01-26 09:47:29,8351,IT,D,0.0,1.0,,-1.0352988384767814
Eve,55,2023-09-21 19:55:10,15611,Sales,C,0.0,0.0,excellent,0.4634839792864074
Alice,69,2023-03-28 00:09:00,18280,Finance,C,0.0,1.0,ok,-0.0481777596557381
Carol,50,2023-04-01 03:37:17,16422,IT,C,1500.0,1.0,excellent,0.0274055652816432
Bob,18,2022-06-24 09:21:45,4166,HR,B,1500.0,0.0,excellent,0.4606265575052928
Frank,39,2019-02-10 04:42:26,14771,Operations,C,1000.0,1.0,excellent,0.5134832105543361
Eve,57,2021-12-22 13:40:51,13749,Sales,A,1500.0,0.0,excellent,-1.1093629111148038
Carol,25,2017-10-13 13:30:56,5304,Operations,D,1000.0,1.0,needs review,1.117104746450665
Eve,28,2017-10-14 18:50:44,10678,Finance,C,500.0,1.0,ok,0.1550613596071758
Frank,52,2023-10-10 19:57:07,10663,Finance,D,1000.0,1.0,pending,0.5573314907198257
Carol,66,2019-12-21 10:28:00,16896,Finance,A,0.0,1.0,pending,0.2307380986162209
Dave,41,2017-10-16 05:18:45,17356,IT,B,1500.0,0.0,pending,0.011419998180058
Frank,67,2022-07-16 07:14:18,15801,IT,D,1000.0,0.0,excellent,-0.0674886038845234
Bob,21,2019-11-09 07:05:20,12171,Finance,A,1000.0,0.0,needs review,0.5244412934813638
Alice,27,2018-11-16 01:04:40,18628,IT,B,500.0,0.0,ok,-0.7848858660870701
Alice,43,2022-12-04 22:36:39,12961,Finance,D,1500.0,1.0,needs review,-0.7625864344106102
Eve,36,2023-07-25 13:28:21,12407,Sales,B,0.0,1.0,needs review,-0.626014817964403
Dave,19,2019-05-02 18:15:30,14035,Sales,,500.0,1.0,pending,-0.7990911773308564
Alice,47,2023-07-11 21:30:46,6948,,B,500.0,1.0,excellent,-0.1714498770458063
Carol,43,2021-07-21 22:53:19,7011,,C,1500.0,1.0,needs review,-1.4589983900887564
Alice,21,2023-10-09 16:07:08,7268,,C,500.0,0.0,,0.8960246966752307
Eve,64,2022-08-29 19:10:54,15827,Sales,D,0.0,1.0,excellent,0.1513435753932717
Eve,68,2017-10-21 03:17:03,7702,Operations,D,1000.0,1.0,ok,-0.4087329807852602
Dave,29,2020-04-29 12:39:01,16126,,,0.0,0.0,ok,0.5890093366931023
Dave,58,2022-12-19 19:03:44,19351,Finance,,500.0,1.0,needs review,-1.1235716547298311
Dave,31,2018-11-19 20:16:57,18810,Sales,B,0.0,0.0,excellent,-1.5829666665241315
Alice,49,2021-01-07 09:13:27,3657,Sales,,1000.0,1.0,ok,-0.1157348814012546
Bob,35,2022-01-02 00:29:25,6651,Operations,B,1000.0,1.0,ok,1.2078882490600182
Alice,31,2023-08-15 08:36:24,16184,Finance,A,0.0,0.0,ok,0.9529115217776292
Dave,41,2022-07-13 14:13:53,17912,HR,,1000.0,0.0,pending,0.0063212556787197
Alice,28,2019-09-04 06:37:15,3486,HR,D,500.0,1.0,ok,0.6959126666728195
Eve,65,2018-04-03 02:22:13,3283,Finance,D,500.0,1.0,,-0.6818530659671783
Bob,31,2018-08-14 21:02:23,9670,Sales,,0.0,1.0,pending,0.981545200490514
Eve,64,2017-09-23 22:08:44,9373,Sales,B,0.0,0.0,needs review,-0.4080003591792283
Bob,43,2017-12-07 17:42:48,8206,Operations,D,500.0,1.0,,-1.9636804725916568
Dave,54,2022-09-03 23:33:50,3187,HR,B,1000.0,0.0,ok,0.4342192144889157
Carol,25,2021-09-30 04:32:03,19008,Operations,C,1000.0,0.0,needs review,-0.1655578364262712
Alice,59,2017-08-05 00:23:50,6895,,B,1500.0,0.0,,0.925808644427621
Bob,51,2018-12-22 20:41:54,8151,Finance,A,1000.0,1.0,ok,1.6071326830018615
Bob,44,2020-12-02 16:59:13,11665,HR,B,500.0,1.0,ok,-1.2099814765788004
Frank,51,2021-05-24 05:09:46,17180,HR,,1500.0,0.0,ok,0.0057073977050752
Frank,62,2020-09-11 18:32:54,11031,Operations,A,1000.0,0.0,needs review,-0.0303174420765112
Eve,45,2017-07-25 03:51:59,3639,IT,A,0.0,1.0,ok,-0.2305890259753347
Frank,54,2021-12-24 22:03:17,17868,Finance,A,0.0,1.0,,0.0061502309807382
Alice,59,2020-01-21 20:23:02,16445,HR,B,500.0,1.0,needs review,0.8010856319326999
Frank,47,2023-05-14 01:51:25,17044,HR,C,1000.0,1.0,ok,0.8392889282892512
Alice,67,2022-02-02 18:44:40,5620,,D,0.0,1.0,ok,0.6673873809488371
Carol,54,2021-08-29 07:20:19,13513,IT,B,1000.0,1.0,ok,1.5250426736581058
Eve,32,2021-07-09 09:33:42,17674,Finance,B,0.0,0.0,ok,1.956921620361349
Bob,67,2020-02-03 21:40:25,19389,,A,1500.0,1.0,needs review,-0.2442381581046094
Dave,67,2019-09-16 03:27:58,5028,Sales,A,500.0,1.0,pending,-0.7168490319899903
Alice,50,2022-02-13 19:51:14,8025,,D,500.0,1.0,excellent,0.6433943465470495
Alice,37,2021-06-23 11:12:51,9030,HR,A,1000.0,0.0,excellent,0.3699199103431231
Eve,64,2022-06-13 11:31:01,11535,Finance,,1000.0,0.0,needs review,-1.7100926813143746
Alice,32,2021-09-30 07:41:40,12276,HR,B,1000.0,0.0,needs review,-1.0320579806994807
Carol,31,2022-02-04 09:24:47,16505,Sales,A,1000.0,1.0,excellent,0.4717032112343611
Bob,22,2018-12-18 12:23:38,19691,Operations,D,500.0,1.0,ok,0.1707528127191825
Frank,64,2022-07-13 09:35:44,16829,Operations,C,1500.0,1.0,excellent,1.2394731713566525
Dave,51,2021-03-15 13:03:38,12436,Finance,B,0.0,0.0,excellent,1.0837389949916088
Carol,28,2021-06-17 18:18:16,3519,,D,500.0,1.0,needs review,-1.5334342390462272
Alice,66,2021-04-03 03:48:14,18593,,D,1000.0,1.0,excellent,-0.1561135330840304
Dave,56,2021-10-11 15:37:58,15143,IT,C,0.0,1.0,excellent,0.222607550353648
Alice,54,2019-01-31 20:01:54,7134,HR,A,1000.0,1.0,needs review,-0.4713237694862476
Alice,21,2020-01-12 13:49:28,7290,Sales,D,1000.0,1.0,needs review,-0.8990806388476639
Carol,41,2021-08-20 15:52:14,7600,,D,1000.0,0.0,ok,0.568862770299856
Bob,33,2021-10-05 19:14:15,10452,,,1000.0,1.0,pending,0.209473910548108
Frank,57,2022-08-01 11:07:58,10958,Operations,C,0.0,0.0,pending,0.9586282128794488
Dave,41,2020-12-13 07:47:16,7361,IT,A,1000.0,1.0,excellent,0.5141659528835657
Alice,38,2017-12-20 20:40:18,12702,Operations,A,1000.0,0.0,pending,0.9262799574420858
Alice,24,2023-06-23 03:30:03,3201,,B,0.0,0.0,ok,-1.2149810634927078
Carol,44,2022-04-06 21:17:38,7846,,B,0.0,0.0,excellent,0.5767508753710894
Bob,51,2023-06-10 15:18:32,14953,Finance,C,1500.0,0.0,pending,1.283439403581645
Bob,29,2021-01-04 09:26:48,18803,HR,,1500.0,0.0,ok,1.1999297597541625
Eve,54,2020-01-31 16:15:54,6181,Sales,,0.0,1.0,ok,-0.9341190664325244
Eve,29,2022-09-19 19:41:05,3469,Operations,C,1000.0,1.0,needs review,-0.2852031600869742
Frank,18,2022-12-10 11:15:32,8799,Finance,C,1000.0,0.0,excellent,0.209933992744702
Eve,18,2020-02-04 14:09:43,3862,Operations,A,0.0,0.0,,-0.2800642307667479
Alice,27,2020-07-28 14:35:21,12871,Sales,D,500.0,1.0,pending,1.5427749615083746
Alice,41,2018-02-19 04:29:06,11152,Operations,C,500.0,1.0,excellent,-1.0171247968837465
Alice,27,2022-09-16 22:56:50,10181,Operations,A,1000.0,1.0,pending,-0.3536339942195692
Frank,18,2020-05-15 23:17:34,8401,Finance,A,500.0,0.0,pending,-0.7265457338644375
Bob,30,2020-04-09 06:38:54,18563,,C,1000.0,1.0,ok,-0.4215750077659296
Frank,45,2019-12-11 08:18:48,6605,HR,B,1000.0,0.0,ok,0.0057009720956691
Eve,41,2022-05-07 00:31:14,14992,Finance,D,1000.0,1.0,excellent,-0.0270954745018954
Eve,26,2019-10-06 00:21:21,10051,,,1500.0,1.0,excellent,0.7016196621571635
Bob,55,2018-05-21 09:09:08,7691,Sales,A,1000.0,1.0,excellent,1.5347210448235853
Bob,24,2018-06-26 10:59:50,15802,Sales,C,500.0,1.0,,-0.4417070929266494
Carol,30,2019-01-23 03:15:47,13502,Finance,C,1500.0,1.0,,-0.3956766822702654
Frank,45,2017-09-07 12:27:34,13494,Operations,,1500.0,1.0,,-1.573371204393223
Frank,66,2021-03-17 18:30:14,13838,Operations,A,1500.0,1.0,pending,0.0541858524328586
Alice,20,2020-01-18 05:01:43,14138,Sales,B,1000.0,0.0,pending,-2.146590961946816
Bob,62,2021-10-23 19:08:31,12308,Operations,C,0.0,1.0,ok,0.4885297740520031
Bob,44,2018-10-06 23:46:13,6106,Finance,D,1000.0,0.0,needs review,-0.8565395821289482
Carol,28,2020-01-13 10:25:22,15253,Sales,D,1000.0,0.0,excellent,0.5092486808063085
Carol,67,2019-08-21 23:55:18,13677,IT,,500.0,1.0,pending,1.245190107630528
Bob,47,2017-08-23 15:38:02,17765,Sales,A,1500.0,1.0,excellent,-2.39093232182089
Frank,58,2022-07-12 16:13:51,16976,Sales,D,0.0,1.0,needs review,-0.5441517404644579
Alice,30,2023-04-16 12:23:19,3778,Sales,,1000.0,1.0,ok,-0.8148184904099927
Eve,41,2023-05-22 02:59:32,16879,Operations,C,1000.0,0.0,needs review,-0.486380909333687
Carol,68,2021-06-02 03:04:48,16358,Operations,D,1000.0,0.0,needs review,1.5180007244443556
Bob,64,2020-03-15 13:52:15,9601,,A,1000.0,0.0,pending,1.1772588573424798
Dave,29,2019-05-18 22:49:51,9041,Sales,,500.0,1.0,pending,0.377154749644552
Carol,69,2023-04-22 19:55:14,7579,Operations,C,0.0,1.0,ok,-0.8704494344471477
Frank,30,2021-04-07 01:18:32,7713,,D,1000.0,1.0,pending,-0.1431049439982549
Carol,39,2022-06-22 22:25:52,12790,,D,500.0,1.0,ok,-0.2416377287783044
Carol,61,2023-05-06 05:27:39,13558,Sales,,500.0,1.0,needs review,-0.2247009819038243
Dave,40,2017-11-07 22:42:12,8508,,C,1500.0,0.0,ok,-1.4230786972438676
Eve,53,2019-07-07 07:32:37,12821,,,500.0,1.0,,-0.4584528275740565
Bob,42,2020-01-27 05:59:59,6113,Operations,A,0.0,1.0,ok,-0.2579154733305995
Bob,37,2022-02-07 07:43:47,4344,IT,C,0.0,1.0,excellent,0.5313167826584656
Eve,37,2021-02-25 00:10:36,10858,Finance,A,0.0,1.0,needs review,0.5138387212098466
Dave,37,2020-03-19 19:20:43,19252,IT,,1000.0,1.0,excellent,-0.1063920512000208
Dave,41,2021-07-10 05:17:29,9979,HR,,1000.0,1.0,,0.2196083868562311
Frank,41,2022-11-06 23:14:40,7962,Sales,D,1000.0,1.0,,-2.137098226840832
Frank,29,2022-08-02 01:10:20,9557,Sales,C,0.0,0.0,ok,-0.8881979651245778
Carol,60,2023-07-06 21:41:28,18346,Finance,D,1500.0,0.0,excellent,-1.6213668357256126
Alice,47,2019-01-27 02:47:11,17230,Sales,A,500.0,0.0,ok,0.0964538374859279
Dave,61,2019-06-28 13:10:25,8067,Operations,C,0.0,0.0,pending,0.708732782320205
Frank,20,2019-03-28 22:32:27,3616,,,500.0,1.0,,0.5214987427978762
Eve,34,2022-11-11 12:13:46,3529,,D,1500.0,0.0,excellent,0.1447081526552549
Alice,22,2022-02-06 21:13:48,6996,,A,1500.0,1.0,excellent,-1.22613614191404
Frank,60,2019-02-09 08:34:24,12921,IT,B,1000.0,1.0,,1.370809767254909
Alice,40,2022-05-17 09:04:53,14588,HR,D,1500.0,1.0,,-1.944077734186073
Eve,62,2020-01-25 09:09:10,12027,HR,A,1000.0,0.0,,0.3294241099805672
Eve,20,2019-12-11 04:40:00,13107,HR,,0.0,1.0,excellent,-1.5264951399295168
